James Van Der Beek,Shannyn Sossamon,Ian Somerhalder,the rules of attraction
Alexis Bledel,William Hurt,Sissy Spacek,tuck everlasting
Alison Lohman,Michelle Pfeiffer,Cole Hauser,white oleander
Michael Moore,George H. W. Bush,George W. Bush,bowling for columbine
Jerry Seinfeld,Orny Adams,Greg Giraldo,comedian
Daniel Auteuil,Vincent Pérez,Marie Gillain,on guard
Veronica Taylor,Rachael Lillis,Maddie Blaustein,pokémon 4ever: celebi - voice of the forest
Adam Sandler,Emily Watson,Philip Seymour Hoffman,punch-drunk love
Jacques Gamblin,Denis Podalydès,Charlotte Kady,safe conduct
Madonna,Adriano Giannini,Bruce Greenwood,swept away
Devon Gummersall,Arly Jover,Eion Bailey,the young unknowns
Katie Holmes,Benjamin Bratt,Charlie Hunnam,abandon
Samuel L. Jackson,Robert Carlyle,Emily Mortimer,the 51st state
Greg Kinnear,Willem Dafoe,Rita Wilson,auto focus
David Arquette,Daniel Benzali,Steve Buscemi,the grey zone
America Ferrera,Lupe Ontiveros,Ingrid Oliu,real women have curves
Sergei Dreiden,Mariya Kuznetsova,Leonid Mozgovoy,russian ark
Yu-won Lee,Ok Ji-young,Eung-sil Lee,take care of my cat
Glenn Fitzgerald,Anson Mount,Bob Burrus,tully
Dustin Hoffman,Nicole Kidman,Loren Dean,billy bathgate
Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara,grave of the fireflies
Kane Hodder,John D. LeMay,Kari Keegan,jason goes to hell: the final friday
John Travolta,Karen Lynn Gorney,Barry Miller,saturday night fever
John Travolta,Cynthia Rhodes,Finola Hughes,staying alive
Richard Widmark,Christopher Lee,Honor Blackman,to the devil a daughter
John Travolta,Debra Winger,Scott Glenn,urban cowboy
Jamie Lee Curtis,Ben Johnson,Hart Bochner,terror train
Tim Curry,Trini Alvarado,Robin Johnson,times square
Steve McQueen,Linda Evans,Richard Farnsworth,tom horn
Walter George Alton,Donald Pleasence,Miguel Ángel Fuentes,the pumaman
Ralph Macchio,Wendell Brown,Tommy Citera,up the academy
Paul Newman,Jacqueline Bisset,William Holden,when time ran out...
Dudley Moore,Laraine Newman,James Coco,wholly moses
Olivia Newton-John,Gene Kelly,Michael Beck,xanadu
Peter Falk,Vicki Frederick,Laurene Landon,...all the marbles
Paul Newman,Sally Field,Bob Balaban,absence of malice
John Savage,Christopher Plummer,Marthe Keller,the amateur
Bud Spencer,Marina Langner,Mario Scarpetta,banana joe
John Travolta,Nancy Allen,John Lithgow,blow out
Rebecca Balding,Fred McCarren,Anne-Marie Martin,the boogens
Jack Lemmon,Walter Matthau,Paula Prentiss,buddy buddy
Brian Matthews,Leah Ayres,Brian Backer,the burning
Giovanni Lombardo Radice,Robert Kerman,Danilo Mattei,cannibal ferox
Denzel Washington,George Segal,Susan Saint James,carbon copy
Peter Ustinov,Lee Grant,Angie Dickinson,charlie chan and the curse of the dragon queen
Bud Spencer,Terence Hill,John Fujioka,a friend is a treasure
John Belushi,Blair Brown,Allen Garfield,continental divide
Cindy Williams,Bruce Kimmel,Leslie Nielsen,the creature wasn't nice
Jerzy Radziwiłowicz,Krystyna Janda,Marian Opania,man of iron
James Farentino,Melody Anderson,Jack Albertson,dead & buried
Maren Jensen,Sharon Stone,Susan Buckner,deadly blessing
Charles Bronson,Lee Marvin,Andrew Stevens,death hunt
Franco Nero,Susan George,Christopher George,enter the ninja
Donald Sutherland,Kate Nelligan,Stephen MacKenna,eye of the needle
William Hurt,Sigourney Weaver,Christopher Plummer,eyewitness
Michael Carr,Samuel Berkowitz,Mary Ellen Brighton,faces of death
Gérard Depardieu,Fanny Ardant,Henri Garcin,the woman next door
Walter Matthau,Jill Clayburgh,Barnard Hughes,first monday in october
Paul Newman,Ken Wahl,Danny Aiello,"fort apache, the bronx"
Craig Wasson,Jodi Thelen,Michael Huddleston,four friends
Alan Alda,Carol Burnett,Len Cariou,the four seasons
Edward Albert,Erin Moran,Ray Walston,galaxy of terror
Mel Gibson,Mark Lee,Bill Kerr,gallipoli
Lino Ventura,Michel Serrault,Romy Schneider,the inquisitor
Fred Astaire,Melvyn Douglas,Douglas Fairbanks Jr.,ghost story
Tony Danza,Jessica Walter,Stacey Nelkin,going ape!
Tony Barry,Kelly Johnson,Claire Oberman,goodbye pork pie
John Gordon Sinclair,Dee Hepburn,Jake D'Arcy,gregory's girl
Kim Anderzon,Janne 'Loffe' Carlsson,Stig Ossian Ericson,who pulled the plug?
Michael Caine,Andrea Marcovicci,Annie McEnroe,the hand
Melissa Sue Anderson,Glenn Ford,Lawrence Dane,happy birthday to me
Andy Kaufman,Bernadette Peters,Randy Quaid,heartbeeps
Robin Clarke,Jennifer Ashley,Stephanie Beacham,inseminoid
Diane Lane,Ray Winstone,Peter Donat,"ladies and gentlemen, the fabulous stains"
Sylvia Kristel,Shane Briant,Nicholas Clay,lady chatterley's lover
Christopher Lloyd,Matt Clark,Juanin Clay,the legend of the lone ranger
Hanna Schygulla,Giancarlo Giannini,Christine Kaufmann,lili marleen
Albert Finney,James Coburn,Susan Dey,looker
Gaylen Ross,Tony Fish,Harriet Bass,madman
Chevy Chase,Patti D'Arbanville,Dabney Coleman,modern problems
Albert Brooks,Kathryn Harrold,Bruno Kirby,modern romance
Zoë Lund,Albert Sinkys,Darlene Stuto,ms .45
Wallace Shawn,Andre Gregory,Jean Lenauer,my dinner with andré
Jamie Gillis,Samantha Grey,Ryan Hilliard,night of the zombies
Kristy McNichol,Dennis Quaid,Mark Hamill,the night the lights went out in georgia
Marsha Mason,Kristy McNichol,James Coco,only when i laugh
Christopher George,Lynda Day George,Frank Braña,pieces
Tricia O'Neil,Steve Marachuk,Lance Henriksen,piranha part two: the spawning
Divine,Tab Hunter,Edith Massey,polyester
Gabriel Byrne,Julianna Margulies,Desmond Harrington,ghost ship
Johnny Knoxville,Bam Margera,Steve-O,jackass: the movie
Mark Wahlberg,Thandie Newton,Tim Robbins,the truth about charlie
James Corden,Timothy Spall,Ruth Sheen,all or nothing
Matt LeBlanc,Eddie Izzard,James Cosmo,all the queen's men
Juliet Stevenson,Kevin Bishop,Allan Corduner,food of love
Salma Hayek,Alfred Molina,Mía Maestro,frida
Campbell Scott,Jesse Eisenberg,Isabella Rossellini,roger dodger
D. David Morin,Gavin MacLeod,Hal Linden,time changer
Denis Lavant,Michel Subor,Grégoire Colin,beau travail
Jack Palance,Ida Lupino,Wendell Corey,the big knife
Sarah Patterson,Angela Lansbury,David Warner,the company of wolves
Jeff Daniels,Harve Presnell,Joey Albright,escanaba in da moonlight
Jack Lemmon,Virna Lisi,Terry-Thomas,how to murder your wife
Carl Reiner,Eva Marie Saint,Alan Arkin,"the russians are coming, the russians are coming"
Peter Sellers,Paula Prentiss,Angela Lansbury,the world of henry orient
Eddie Murphy,Owen Wilson,Famke Janssen,i spy
Tim Allen,Elizabeth Mitchell,David Krumholtz,the santa clause 2
Said Mohamadi,Behnaz Jafari,Bahman Ghobadi,blackboards
Vera Farmiga,Domenick Lombardozzi,Jill Hennessy,love in the time of money
Sean Penn,Catherine McCormack,Elizabeth Hurley,the weight of water
Rebecca Romijn,Antonio Banderas,Peter Coyote,femme fatale
Eminem,Mekhi Phifer,Brittany Murphy,8 mile
Julianne Moore,Dennis Quaid,Dennis Haysbert,far from heaven
Audrey Tautou,Edouard Baer,Julie Depardieu,god is great and i'm not
Steven Seagal,Моррис Честнат,Ja Rule,half past dead
Daniel Radcliffe,Rupert Grint,Emma Watson,harry potter and the chamber of secrets
Simon Abkarian,Charles Aznavour,Christopher Plummer,ararat
Gael García Bernal,Ana Claudia Talancón,Sancho Gracia,the crime of padre amaro
Dylan Haggerty,Renee Faia,Dennis Lau,interview with the assassin
Richard 'Pistol' Allen,Jack Ashford,Bob Babbitt,standing in the shadows of motown
Eul-boon Kim,Yoo Seung-Ho,Hyo-hee Dong,the way home
Antonio Resines,Alex Angulo,Frédérique Feder,mutant action
John Travolta,Ellie Raab,Tito Larriva,eyes of an angel
Wesley Snipes,Linda Fiorentino,Tanya Allen,liberty stands still
Roger Livesey,Deborah Kerr,Adolf Wohlbrück,the life and death of colonel blimp
John Wayne,Maureen O'Hara,Ben Johnson,rio grande
Harvey Keitel,Iain Glen,John Wood,the young americans
Simon Lyndon,Laurence Breuls,Linda Cropper,blackrock
Paul Gross,Molly Parker,Leslie Nielsen,men with brooms
Skeet Ulrich,Kristy Swanson,Derek de Lint,soul assassin
Kirk Cameron,Brad Johnson,Clarence Gilyard Jr.,left behind ii: tribulation force
Sean Pertwee,Kevin McKidd,Emma Cleasby,dog soldiers
Harvey Keitel,Tisa Farrow,Jim Brown,fingers
Stellan Skarsgård,Katharina Thalbach,Károly Eperjes,"good evening, mr. wallenberg"
Cary Grant,Sophia Loren,Martha Hyer,houseboat
Michael Carr,Russell Friedenberg,Kimberly Liebe,legion of the dead
Julien Ciamaca,Philippe Caubère,Nathalie Roussel,my father's glory
Julien Ciamaca,Philippe Caubère,Nathalie Roussel,my mother's castle
Milla Jovovich,Brian Krause,Lisa Pelikan,return to the blue lagoon
Gérard Depardieu,Josiane Balasko,Carole Bouquet,too beautiful for you
Robert Duvall,Treat Williams,Kathryn Harrold,the pursuit of d.b. cooper
Sissy Spacek,Eric Roberts,Sam Shepard,raggedy man
James Cagney,Brad Dourif,Moses Gunn,ragtime
Jacqueline Bisset,Candice Bergen,David Selby,rich and famous
Massimo Troisi,Fiorenza Marchegiani,Marco Messeri,ricomincio da tre
Stacy Keach,Jamie Lee Curtis,Marion Edward,roadgames
Jane Fonda,Kris Kristofferson,Hume Cronyn,rollover
Richard Benjamin,Paula Prentiss,Jeffrey Tambor,saturday the 14th
Stephen Lack,Jennifer O'Neill,Michael Ironside,scanners
Burt Reynolds,Rachel Ward,Henry Silva,sharky's machine
Slavko Štimac,Slobodan Aligrudić,Ljiljana Blagojević,do you remember dolly bell?
Ryan O'Neal,Jack Warden,Mariangela Melato,so fine
Louis de Funès,Jean Carmet,Jacques Villeret,cabbage soup
Keith Carradine,Powers Boothe,Fred Ward,southern comfort
Lesley-Anne Down,Frank Langella,Maurice Ronet,sphinx
Ben Gazzara,Ornella Muti,Susan Tyrrell,tales of ordinary madness
Kristen Riter,Matthew Goldsby,Jerry Belson,student bodies
Barbara Hershey,Art Carney,Robert Hays,take this job and shove it
Bo Derek,Richard Harris,John Phillip Law,"tarzan, the ape man"
Bruce Dern,Maud Adams,Leonard Frey,tattoo
Audrey Hepburn,Ben Gazzara,Patti Hansen,they all laughed
Elvis Presley,David Scott,Paul Boensch III,this is elvis
Robert De Niro,Robert Duvall,Charles Durning,true confessions
Pierce Brosnan,Halle Berry,Rosamund Pike,die another day
Kevin Kline,Emile Hirsch,Embeth Davidtz,the emperor's club
Ice Cube,Mike Epps,John Witherspoon,friday after next
Kyra Sedgwick,Parker Posey,Fairuza Balk,personal velocity
Cecilia Bengolea,Leonardo Brzezicki,Adrián Fondari,smokers only
Leonor Watling,Rosario Flores,Javier Cámara,talk to her
Adam Sandler,Jackie Sandler,Kevin Nealon,eight crazy nights
Devon Sawa,Bridgette Wilson,Rufus Sewell,extreme ops
George Clooney,Natascha McElhone,Viola Davis,solaris
Joseph Gordon-Levitt,Brian Murray,David Hyde Pierce,treasure planet
Laura Regan,Marc Blucas,Ethan Embry,they
Jamie Rose,Catherine Carlen,Lycia Naff,chopper chicks in zombietown
Til Schweiger,Martin Feifel,Sebastian Blomberg,what to do in case of fire?
Richard Pryor,Gene Wilder,Mercedes Ruehl,another you
Larisa Guzeeva,Nikita Mikhalkov,Andrey Myagkov,a cruel romance
Per Christian Ellefsen,Sven Nordin,Jørgen Langhelle,elling
Donald Sinden,David Hartman,Jacques Marin,the island at the top of the world
Linda Fiorentino,Bill Pullman,Peter Berg,the last seduction
Joan Severance,Con O'Neill,Joseph Pilato,the last seduction ii
Joshua Morrell,Eva Kryll,Tammy Shields,making contact
Liane Balaban,Tara Spencer-Nairn,Mary Walsh,new waterford girl
Richy Müller,Aviva Joel,Matthias Fuchs,the noah's ark principle
Lee Horsley,Richard Lynch,Kathleen Beller,the sword and the sorcerer
Robert De Niro,Billy Crystal,Lisa Kudrow,analyze that
John Leguizamo,Peter Sarsgaard,Denise Richards,empire
Nicolas Cage,Meryl Streep,Chris Cooper,adaptation.
Christian Bale,Taye Diggs,Emily Watson,equilibrium
Wu Chun,Han Geng,Barbie Hsu,my kingdom
Maria Pitarresi,Philippe Torreton,Nadia Kaci,it all starts today
Asia Argento,Jean Shepard,Herbert Fritsch,scarlet diva
Ken'ichi Endô,Shungiku Uchida,Kazushi Watanabe,visitor q
Robert Hossein,Nicole Garcia,Geraldine Chaplin,bolero: dance of life
Belinda Carlisle,Klaus Nomi,Sting,urgh! a music war
Jan Machulski,Leonard Pietraszak,Witold Pyrkosz,vabank
Gösta Ekman,Ulf Brunnberg,Nils Brandt,varning för jönssonligan
Albert Bitterling,Roscoe Collins,George Harris,"vernon, florida"
Michael Caine,Sylvester Stallone,Max von Sydow,escape to victory
Richard Dreyfuss,John Cassavetes,Christine Lahti,whose life is it anyway?
Edward James Olmos,Charles Aidman,Tyne Daly,zoot suit
Klaus Kinski,Brie Howard,Norbert Weisser,android
Jean-Paul Belmondo,Marie-France Pisier,Rachid Ferrache,ace of aces
John Phillip Law,Mel Gibson,Sam Neill,attack force z
Diego Abatantuono,Angelo Infanti,Rita Rusic,attila flagello di dio
Al Pacino,Dyan Cannon,Tuesday Weld,author! author!
Willie Nelson,Gary Busey,Isela Vega,barbarosa
Ronny Cox,Bibi Besch,Paul Clemens,the beast within
Burt Reynolds,Goldie Hawn,Jessica Tandy,best friends
Burt Reynolds,Dolly Parton,Dom DeLuise,the best little whorehouse in texas
Claude Brasseur,Brigitte Fossey,Sophie Marceau,the party 2
Sting,Denholm Elliott,Joan Plowright,brimstone & treacle
Graham Crowden,Leonard Rossiter,Malcolm McDowell,britannia hospital
Werner Herzog,Klaus Kinski,Claudia Cardinale,burden of dreams
Nick Nolte,Debra Winger,Audra Lindley,cannery row
Perry King,Merrie Lynn Ross,Tim Van Patten,class of 1984
Cher,Sandy Dennis,Karen Black,"come back to the 5 & dime, jimmy dean, jimmy dean"
Gérard Depardieu,Wojciech Pszoniak,Patrice Chéreau,danton
Michael Caine,Christopher Reeve,Dyan Cannon,deathtrap
Cüneyt Arkın,Aytekin Akkaya,Füsun Uçar,the man who saves the world
Paul Bartel,Mary Woronov,Susan Saiger,eating raoul
Nick Cannon,Zoe Saldana,Orlando Jones,drumline
Rob Schneider,Rachel McAdams,Anna Faris,the hot chick
Jennifer Lopez,Ralph Fiennes,Natasha Richardson,maid in manhattan
Patrick Stewart,Jonathan Frakes,Brent Spiner,star trek: nemesis
Jack Nicholson,Kathy Bates,Hope Davis,about schmidt
Juan José Ballesta,Pablo Galán,Manuel Morón,el bola
Pierce Brosnan,Sophie Vavasseur,Aidan Quinn,evelyn
Sigourney Weaver,Anthony LaPaglia,Irene Walsh,the guys
Leonardo Sbaraglia,Eusebio Poncela,Mónica López,intacto
Frank Whaley,Carla Gugino,Ethan Hawke,the jimmy show
Samantha Morton,Kathleen McDermott,James Wilson,morvern callar
Elijah Wood,Ian McKellen,Viggo Mortensen,the lord of the rings: the two towers
Jiang Wen,Jiang Hong-Bo,Teruyuki Kagawa,devils on the doorstep
Edward Norton,Philip Seymour Hoffman,Barry Pepper,25th hour
Derek Luke,Malcolm David Kelley,Cory Hodges,antwone fisher
Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,gangs of new york
Sandra Bullock,Hugh Grant,Alicia Witt,two weeks notice
Lacey Chabert,Tom Kane,Cree Summer,the wild thornberrys movie
Jason Patric,Ray Liotta,Chi McBride,narc
Rob Lowe,James Spader,Lisa Zane,bad influence
Madonna,Willem Dafoe,Julianne Moore,body of evidence
Audrey Hepburn,Shirley MacLaine,James Garner,the children's hour
Gene Hackman,Mikhail Baryshnikov,Kurtwood Smith,company business
Keith Carradine,Harvey Keitel,Albert Finney,the duellists
John Wayne,Sophia Loren,Rossano Brazzi,legend of the lost
Alec Baldwin,Jennifer Jason Leigh,Fred Ward,miami blues
Dan Aykroyd,Jamie Lee Curtis,Anna Chlumsky,my girl 2
Noriko Hidaka,Hitoshi Takagi,Chika Sakamoto,my neighbor totoro
Bing Crosby,Bob Hope,Joan Collins,the road to hong kong
Bruce Campbell,Jeremy Roberts,Anita Barone,running time
Dylan McDermott,Tom Sizemore,Sharon Stone,where sleeping dogs lie
George Segal,Ruth Gordon,Ron Leibman,where’s poppa?
Michael Caine,James Fox,Nigel Havers,the whistle blower
Richard Garland,Pamela Duncan,Russell Johnson,attack of the crab monsters
Corinne Cléry,Udo Kier,Alain Noury,the story of o
Shah Rukh Khan,Kareena Kapoor,Ajith Kumar,asoka
Stacy Keach,Jeff Bridges,Susan Tyrrell,fat city
Jonny Lee Miller,Jude Law,Ray Winstone,"love, honour and obey"
Kevin Bacon,Jami Gertz,Paul Rodríguez,quicksilver
Nicole Kidman,Julianne Moore,Meryl Streep,the hours
Charlie Hunnam,Nathan Lane,Jim Broadbent,nicholas nickleby
Adrien Brody,Thomas Kretschmann,Frank Finlay,the pianist
James Franco,Brenda Blethyn,Harry Dean Stanton,sonny
Ronald Colman,Celeste Holm,Vincent Price,champagne for caesar
Michael Ironside,Julie Strain,Billy Idol,heavy metal 2000
David Hess,Annie Belle,Giovanni Lombardo Radice,house on the edge of the park
Robert De Niro,Jerry Lewis,Diahnne Abbott,the king of comedy
Philip Seymour Hoffman,Jack Kehler,Sarah Koskoff,love liza
Sam Rockwell,Drew Barrymore,Julia Roberts,confessions of a dangerous mind
Leonor Silveira,Luís Miguel Cintra,Ruy de Carvalho,abraham's valley
Jeff Foxworthy,Ron White,Larry the Cable Guy,blue collar comedy tour: the movie
Ashton Kutcher,Brittany Murphy,Christian Kane,just married
Steve Guttenberg,Lombardo Boyar,Shirley Knight,p.s. your cat is dead!
Teah,Michelle Reis,Patricia Manterola,the city of lost souls
Denis Leary,Elizabeth Hurley,Luis Guzmán,double whammy
Mira Sorvino,Mariah Carey,Melora Walters,wisegirls
Jason Lee,Julia Stiles,Selma Blair,a guy thing
Jerry O'Connell,Anthony Anderson,Estella Warren,kangaroo jack
Martin Lawrence,Steve Zahn,Colm Feore,national security
Ge You,Rosamund Kwan,Donald Sutherland,big shot's funeral
Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,city of god
Stine Stengade,Lars Mikkelsen,Sven Wollter,kira's reason: a love story
Katharine Hepburn,Fred MacMurray,Fred Stone,alice adams
Dennis Hopper,Bruno Ganz,Lisa Kreuzer,the american friend
Edward James Olmos,William Forsythe,Sal Lopez,american me
Anna Karina,Claude Brasseur,Sami Frey,band of outsiders
Russell Crowe,Salma Hayek,Abraham Alvarez,breaking up
Chris Rock,Allen Payne,Phil Hartman,cb4
Götz George,Jürgen Hentsch,Hans-Michael Rehberg,the deathmaker
River Phoenix,Lili Taylor,Richard Panebianco,dogfight
Elvis Presley,Dodie Marshall,Pat Priest,"easy come, easy go"
Elvis Presley,Ursula Andress,Elsa Cárdenas,fun in acapulco
Elvis Presley,Stella Stevens,Jeremy Slate,girls! girls! girls!
Laurence Olivier,Thelonious Bernard,Diane Lane,a little romance
Ethan Hawke,Teri Polo,Brian McNamara,mystery date
Elvis Presley,Suzanna Leigh,James Shigeta,"paradise, hawaiian style"
Jean Gabin,Gabriel Gabrio,Saturnin Fabre,pépé le moko
C. Thomas Howell,Kelly Preston,Lori Loughlin,secret admirer
Peter Gallagher,Daryl Hannah,Valérie Quennessen,summer lovers
Barbara Hershey,Keanu Reeves,Peter Falk,tune in tomorrow...
Gene Wilder,Charles Grodin,Joseph Bologna,the woman in red
Chaney Kley,Emma Caulfield,Lee Cormie,darkness falls
Ulrich Tukur,Mathieu Kassovitz,Ulrich Mühe,amen.
Maya Deren,Stan Brakhage,Judith Malina,in the mirror of maya deren
Diahann Carroll,James Earl Jones,Lawrence Hilton-Jacobs,claudine
Humphrey Bogart,Lizabeth Scott,Morris Carnovsky,dead reckoning
Spencer Tracy,Frank Sinatra,Kerwin Mathews,the devil at 4 o'clock
Liam Neeson,Joan Allen,Patricia Arquette,ethan frome
Ed Asner,Don Knotts,Gary Grimes,gus
Jimmy Cliff,Janet Bartley,Carl Bradshaw,the harder they come
Lloyd Bochner,Ellen Janov,Morey Amsterdam,the horse in the gray flannel suit
Blair Underwood,Joseph Simmons,Darryl McDaniels,krush groove
Hayley Mills,Eli Wallach,Peter McEnery,the moon-spinners
Laurence Fishburne,Derek Luke,Orlando Jones,biker boyz
Ali Larter,A.J. Cook,Michael Landes,final destination 2
Al Pacino,Colin Farrell,Bridget Moynahan,the recruit
Jimi Mistry,Heather Graham,Marisa Tomei,the guru
Andrei Kashkar,Moni Moshonov,Yussuf Abu-Warda,kedma
Terry Gilliam,Tony Grisoni,Philip A. Patterson,lost in la mancha
Angela Bettis,Jeremy Sisto,Anna Faris,may
Humphrey Bogart,Rod Steiger,Jan Sterling,the harder they fall
Peter Sellers,Ian Carmichael,Terry-Thomas,i'm all right jack
Christopher Plummer,James Mason,David Hemmings,murder by decree
Kevin Spacey,Linda Fiorentino,Peter Mullan,ordinary decent criminal
Teresa Wright,Robert Mitchum,Judith Anderson,pursued
Virginia McKenna,Bill Travers,Margaret Rutherford,the smallest show on earth
Miho Nikaido,Sayoko Amano,Tenmei Kano,tokyo decadence
Peter Sellers,Maurice Denham,Lionel Jeffries,two way stretch
Stéphane Audran,Michel Bouquet,Maurice Ronet,the unfaithful wife
Stellan Skarsgård,Hans Alfredson,Maria Johansson,the simple-minded murderer
Martin Sheen,Brigitte Fossey,Sam Neill,enigma
Peter Ustinov,Jane Birkin,Nicholas Clay,evil under the sun
Clint Eastwood,Freddie Jones,David Huffman,firefox
Sean Connery,Betsy Brantley,Lambert Wilson,five days one summer
Chuck Norris,Mary Louise Weller,David Opatoshu,forced vengeance
Louis de Funès,Michel Galabru,Maurice Risch,the gendarme and the gendarmettes
Richard Farnsworth,Jackie Burroughs,Ken Pogue,the grey fox
Frederic Forrest,Peter Boyle,Marilu Henner,hammett
Clint Eastwood,Kyle Eastwood,John McIntire,honkytonk man
Neil Young,Russ Tamblyn,Dean Stockwell,human highway
Armand Assante,Barbara Carrera,Laurene Landon,"i, the jury"
Marc Singer,R. H. Thomson,Sarah Torgov,if you could see what i hear
Mark Blankfield,Bess Armstrong,Krista Errickson,jekyll and hyde ... together again
Gösta Ekman,Ulf Brunnberg,Nils Brandt,jönssonligan & dynamitharry
Sally Field,James Caan,Jeff Bridges,kiss me goodbye
Cecilia Roth,Imanol Arias,Helga Liné,labyrinth of passion
Lawrence Monoson,Joe Rubbo,Diane Franklin,the last american virgin
Alan Arkin,Jeff Bridges,Mia Farrow,the last unicorn
Anne Carlisle,Paula E. Sheppard,Susan Doukas,liquid sky
Jackie Chan,Paul Chang Chung,Michael Chan Wai-Man,dragon lord
Michael Ontkean,Harry Hamlin,Kate Jackson,making love
Christopher Connelly,Laura Lenzi,Brigitta Boccoli,manhattan baby
Bogdan Diklić,Danilo 'Bata' Stojković,Pavle Vuisić,the marathon family
Barry Bostwick,Michael Beck,Persis Khambatta,megaforce
Woody Allen,Mia Farrow,Julie Hagerty,a midsummer night's sex comedy
Michael Palin,Maggie Smith,Trevor Howard,the missionary
Christopher Reeve,Geneviève Bujold,Fernando Rey,monsignor
Terry Gilliam,John Cleese,Graham Chapman,monty python live at the hollywood bowl
Jeremy Irons,Eugene Lipinski,Jiří Stanislav,moonlighting
Charlton Heston,Kim Basinger,Nick Mancuso,mother lode
Omero Antonutti,Margarita Lozano,Claudio Bigagli,the night of the shooting stars
Jean-Louis Barrault,Marcello Mastroianni,Hanna Schygulla,the night of varennes
Teri Garr,Frederic Forrest,Raúl Juliá,one from the heart
Carol Kane,Tom Smothers,Candice Azzara,pandemonium
Ryan O'Neal,John Hurt,Kenneth McMillan,partners
Isabelle Huppert,Hanna Schygulla,Michel Piccoli,godard's passion
Chris Parker,Leila Gastil,Sara Driver,permanent vacation
Mariel Hemingway,Scott Glenn,Patrice Donnelly,personal best
Kristy McNichol,Christopher Atkins,Ted Hamilton,the pirate movie
John Cleese,Denis Quilley,Michael Elphick,privates on parade
Zbigniew Zapasiewicz,Marzena Trybała,Jerzy Stuhr,blind chance
Christian Clavier,Anémone,Marie-Anne Chazel,santa claus is a stinker
Michael Moriarty,Candy Clark,Richard Roundtree,q
Brad Davis,Franco Nero,Jeanne Moreau,querelle
Richard Pryor,Gene Cross,Julie Hampton,richard pryor: live on the sunset strip
Florence Delay,Arielle Dombasle,Riyoko Ikeda,sunless
Bridgette Andersen,Mark Miller,Donovan Scott,savannah smiles
Rowan Atkinson,Jeff Beck,Alan Bennett,the secret policeman's other ball
Rosel Zech,Hilmar Thate,Annemarie Düringer,veronika voss
Albert Finney,Diane Keaton,Karen Allen,shoot the moon
Kenny Rogers,Diane Lane,Erin Gray,six pack
Dudley Moore,Mary Tyler Moore,Katherine Healy,six weeks
Ken Wahl,Alberta Watson,Joaquim de Almeida,the soldier
Richard Pryor,Margot Kidder,Ronny Cox,some kind of hero
Jack Hedley,Almanta Suska,Renato Rossini,the new york ripper
Isabelle Weingarten,Rebecca Pauly,Jeffrey Kime,the state of things
Roy Scheider,Meryl Streep,Jessica Tandy,still of the night
Omero Antonutti,Sonsoles Aranguren,Icíar Bollaín,el sur
Miles O'Keeffe,Leigh Lawson,Trevor Howard,sword of the valiant: the legend of sir gawain and the green knight
Robert Carradine,Linda Hamilton,Kristine DeBell,tag: the assassination game
Anthony Franciosa,John Saxon,Daria Nicolodi,tenebre
Johnny Yune,Margaux Hemingway,Raf Mauro,they call me bruce?
Ben Murphy,Nina Axelrod,Kevin Brophy,time walker
Peter Sellers,David Niven,Herbert Lom,trail of the pink panther
Teresa Stratas,Plácido Domingo,Cornell MacNeil,la traviata
Lena Stolze,Wulf Kessler,Oliver Siebert,die weisse rose
Kristy McNichol,Paul Winfield,Burl Ives,white dog
Lewis Collins,Judy Davis,Richard Widmark,who dares wins
Sean Connery,George Grizzard,Robert Conrad,wrong is right
Reb Brown,Corinne Cléry,Luciano Pigozzi,"yor, the hunter from the future"
Scott Baio,Willie Aames,Robert Mandan,zapped!
LL Cool J,Gabrielle Union,Kym Whitley,deliver us from eva
Kate Hudson,Matthew McConaughey,Kathryn Hahn,how to lose a guy in 10 days
Jackie Chan,Owen Wilson,Fann Wong,shanghai knights
Ben Affleck,Jennifer Garner,Colin Farrell,daredevil
John Goodman,Haley Joel Osment,Mae Whitman,the jungle book 2
Paul Schneider,Zooey Deschanel,Danny McBride,all the real girls
Walter Cronkite,F.W. de Klerk,Abdullah Ibrahim,amandla! a revolution in four-part harmony
Choi Min-sik,Kim Yeo-jin,Son Ye-jin,painted fire
Audrey Tautou,Samuel Le Bihan,Isabelle Carré,he loves me... he loves me not
Gabriel Casseus,De'Aundre Bonds,Master P,lockdown
Brendan Hines,Elizabeth Banks,Kris Park,ordinary sinner
Walter Matthau,Mason Gamble,Joan Plowright,dennis the menace
Leslie Howard,Joan Blondell,Humphrey Bogart,stand-in
Charles Bronson,Lisa Eilbacher,Andrew Stevens,10 to midnight
Kelly Reno,Vincent Spano,Allen Garfield,the black stallion returns
Kelly Reno,Mickey Rooney,Teri Garr,the black stallion
Yves Montand,Romy Schneider,Sami Frey,cesar and rosalie
Marlon Brando,Sophia Loren,Tippi Hedren,a countess from hong kong
Gabriel Byrne,Ellen Barkin,Ciarán Fitzgerald,into the west
Charles Bronson,Peggy Lipton,James Pax,kinjite: forbidden subjects
Charles Bronson,Trish Van Devere,Laurence Luckinbill,messenger of death
Charles Bronson,Al Lettieri,Linda Cristal,mr. majestyk
Charles Bronson,Kathleen Wilhoite,Carrie Snodgress,murphy's law
